,c_Subject,Subject,c_SessionDate,SessionDate,SessionTime,nbTrials
0,09031,09031,03-09-2011,03-09-2011,13:38:16,66
1,30110,30110,11-30-2010,11-30-2010,03:14:36,66
2,07120,07120,12-07-2010,01-01-2002,04:52:25,66
3,28090,28090,09-28-2010,09-28-2010,13:30:39,66
4,02052,02052,05-02-2012,01-01-2002,01:18:30,66
5,23020,23020,02-23-2010,01-05-2002,05:18:32,66
6,17119,17119,11-17-2009,01-01-2002,01:24:02,66
7,30102,30102,10-30-2012,01-01-2002,01:05:27,66
8,01021,01021,02-01-2011,01-02-2002,04:06:04,66
9,22021,22021,02-22-2011,01-13-2002,15:22:23,66
10,01022,01022,02-01-2012,01-01-2002,01:16:06,66
11,22031,22031,03-22-2011,03-22-2011,12:22:36,66
12,20062,20062,06-20-2012,01-01-2002,03:56:09,1
13,02020,02020,02-02-2010,01-01-2002,04:25:29,66
14,12010,12010,01-12-2010,01-01-2002,04:41:36,66
15,19100,19100,10-19-2010,10-19-2010,14:15:11,66
16,14032,14032,03-14-2012,01-01-2002,04:16:26,66
17,06100,06100,10-06-2010,01-02-2002,04:43:56,66
18,19011,19011,01-19-2011,01-01-2002,04:28:50,66
19,16060,16060,06-16-2010,01-01-2002,04:52:23,66
20,29031,29031,03-29-2011,01-01-2002,04:45:29,66
21,25011,25011,01-25-2011,01-01-2002,04:38:02,66
22,02060,02060,06-02-2010,06-02-2010,13:53:06,66
23,15090,15090,09-15-2010,09-15-2010,14:17:24,10
24,30069,30069,06-30-2009,06-30-2009,14:19:14,66
25,08021,08021,02-08-2011,01-02-2002,03:08:11,66
26,05100,05100,10-05-2010,01-01-2002,04:55:50,66
27,29099,29099,09-29-2009,01-01-2002,04:59:11,66
28,2,2,,01-01-2002,05:15:40,6
29,13010,13010,01-13-2010,01-13-2010,05:11:49,66
30,30113,30113,11-30-2013,11-30-2010,04:21:31,66
31,22033,22033,03-22-2013,03-22-2011,13:43:08,66
32,16020,16020,02-16-2010,02-16-2010,04:40:21,66
33,07079,07079,07-07-2009,07-07-2009,13:49:22,66
34,09030,09030,03-09-2010,01-01-2002,04:57:19,66
35,15090, 15090,09-15-2010,09-15-2010,14:12:48,8
36,01129,01129,12-01-2009,01-01-2002,03:30:54,66
37,24052,24052,05-24-2012,01-01-2002,02:58:54,32
38,10021,10021,02-10-2011,02-10-2011,10:49:59,66
39,26010,26010,01-26-2010,01-01-2002,04:40:24,66
40,19010,19010,01-19-2010,01-19-2010,13:45:06,66
41,10030,10030,03-10-2010,03-10-2010,13:32:51,66
42,25092,25092,09-25-2012,01-01-2002,01:06:04,66
43,27032,27032,03-27-2012,01-01-2002,01:01:08,66
44,1,1,,01-01-2002,02:10:52,6
45,08129,08129,12-08-2009,12-01-2009,13:58:03,66
46,15031,15031,03-15-2011,01-01-2002,03:48:06,66
47,10119,10119,11-10-2009,11-10-2009,13:53:21,66
48,15060,15060,06-15-2010,01-06-2002,02:58:10,66
49,18011,18011,01-18-2011,01-01-2002,04:52:24,66
50,22099,22099,09-22-2009,01-01-2002,03:45:21,66
51,18012,18012,01-18-2012,01-01-2002,02:35:42,66
52,17110,17110,11-17-2010,11-17-2010,13:48:24,66
